City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Sao Jose Da Coroa Grande,BR,73.51,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
4,Port-Gentil,GA,73.44,light rain,-0.7193,8.7815,Fengshui Residence
6,Charters Towers,AU,75.87,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
11,Atuona,PF,76.62,light rain,-9.8,-139.0333,Villa Enata
14,Tura,IN,76.73,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
16,Ribeira Grande,PT,74.86,light rain,38.5167,-28.7,Quinta da Meia Eira
18,Hamilton,US,77.92,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
25,Puerto Ayora,EC,68.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
27,Bethel,US,79.65,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
29,Jumla,NP,62.87,overcast clouds,29.2747,82.1838,Royal Garden Hotel
33,Elmvale,CA,79.41,broken clouds,44.5834,-79.8664,To Jo's Christian Family Camp
39,Mahebourg,MU,68.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
42,Chute-Aux-Outardes,CA,62.58,clear sky,49.1168,-68.399,Camp St-Paul Gite Plein-Air
43,Senneterre,CA,74.5,overcast clouds,48.3835,-77.2328,Motel Senabi
44,Puerto Lempira,HN,78.28,overcast clouds,15.2667,-83.7667,Puerto Lempira gracias a Dios
45,Kushiro,JP,70.75,broken clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
46,Yellowknife,CA,61.32,light intensity shower rain,62.456,-114.3525,The Explorer Hotel
47,Dunbar,US,77.05,broken clouds,38.3606,-81.7374,"Holiday Inn & Suites Charleston West, an IHG Hotel"
50,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
51,Gigmoto,PH,77.74,overcast clouds,13.7796,124.39,Cj's Travellers Inn
55,La Rioja,ES,62.38,few clouds,42.25,-2.5,Casa Concejos
59,Rikitea,PF,69.71,overcast clouds,-23.1203,-134.9692,People ThankYou
61,Lompoc,US,70.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
64,Faanui,PF,77.7,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
69,Kodiak,US,65.71,few clouds,57.79,-152.4072,Best Western Kodiak Inn
71,Carnarvon,AU,66.97,clear sky,-24.8667,113.6333,Hospitality Carnarvon
72,Teguise,ES,68.22,scattered clouds,29.0605,-13.564,B&B La Casona de Nazaret
81,Ishinomaki,JP,77.67,overcast clouds,38.4167,141.3,Ishinomaki Grand Hotel
88,Namibe,AO,60.67,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
90,Yeppoon,AU,71.38,broken clouds,-23.1333,150.7333,Villa Mar Colina
93,Sao Joao Da Barra,BR,70.54,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
97,Esperance,AU,61.29,broken clouds,-33.8667,121.9,Hospitality Esperance
99,Champasak,LA,77.88,moderate rain,14.75,106.0,Kiat Ngong Wetland BUNGALOW
100,Palmer,US,79.97,broken clouds,42.1584,-72.3287,Wedgewood Motel
102,Rayadrug,IN,73.72,overcast clouds,14.7,76.8667,Suresh Naik plot
104,San Felipe,VE,72.63,light rain,10.3399,-68.7425,Posada Llovizna Rodríguez
105,Halifax,CA,69.69,broken clouds,44.6453,-63.5724,Hotel Halifax
106,Marawi,PH,74.07,overcast clouds,7.9986,124.2928,Derogongan Residence
110,Arraial Do Cabo,BR,71.46,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
112,Itaueira,BR,74.28,clear sky,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
118,Talara,PE,63.59,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
120,Nouadhibou,MR,73.38,broken clouds,20.931,-17.0347,El Medina
127,Saint-Philippe,RE,69.39,clear sky,-21.3585,55.7679,Le four à pain
128,Fortuna,US,63.93,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
130,Bambous Virieux,MU,70.21,light rain,-20.3428,57.7575,Casa Tia Villa
131,Karratha,AU,76.12,clear sky,-20.7377,116.8463,ibis Styles Karratha
132,Bubaque,GW,76.46,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
137,San-Pedro,CI,71.85,few clouds,4.7485,-6.6363,Hotel Maria
140,Ambovombe,MG,61.7,clear sky,-25.1667,46.0833,RELAHARA
141,Slobozia,MD,72.14,clear sky,46.7281,29.7078,Городской пляж Слободзеи
142,Grand Island,US,77.23,broken clouds,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
145,Voh,NC,77.94,broken clouds,-20.9667,164.7,Le gîte du Koniambo
155,Bakel,SN,77.34,light rain,14.905,-12.4568,Ablaye Diallo Bakel
157,Marystown,CA,60.85,broken clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
159,Guerrero Negro,MX,71.74,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
162,Hualmay,PE,60.89,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
164,Yulara,AU,67.28,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
166,Colares,PT,65.79,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
168,Mandalgovi,MN,70.66,overcast clouds,45.7625,106.2708,В.Ганбат
170,Rabo De Peixe,PT,71.11,scattered clouds,37.8,-25.5833,Quinta das Giestas
173,Miguel Hidalgo,MX,63.43,overcast clouds,19.4225,-99.2028,JW Marriott Hotel Mexico City
175,Senador Guiomard,BR,73.15,overcast clouds,-10.1522,-67.7392,Paraíso Hotel
179,North Platte,US,73.29,broken clouds,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
180,Anzhero-Sudzhensk,RU,74.53,clear sky,56.081,86.0285,"Hotel ""Anzherskaya"""
181,At-Bashi,KG,74.12,clear sky,41.1702,75.8106,Hostel At-Bashy
183,Mitchell,US,69.12,few clouds,43.7094,-98.0298,Kelly Inn & Suites
184,Ubinskoye,RU,71.64,overcast clouds,55.3068,79.6802,Gostinitsa Siberia
187,Haghartsin,AM,68.63,clear sky,40.7761,44.9685,Dilijan Park Resort & Villas
188,Cervo,ES,67.23,scattered clouds,43.6702,-7.4101,Hotel Spa Galatea
190,Yambio,SS,67.86,overcast clouds,4.5721,28.3955,Naivasha Hotel
198,Salalah,OM,75.29,mist,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
199,Asau,RO,69.28,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
200,Kyren,RU,66.56,clear sky,51.6828,102.1408,"Energetik, Pansionat Ooo ""Grand Baykal"""
202,Pemberton,CA,67.95,clear sky,50.3164,-122.8027,Pemberton Valley Lodge
203,Lishu,CN,76.1,overcast clouds,43.3047,124.3278,Su Camp Business Hotel
204,Jamestown,US,74.79,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
205,Port Augusta,AU,61.77,clear sky,-32.5,137.7667,Majestic Oasis Apartments
209,Lagoa,PT,73.8,light rain,39.05,-27.9833,Casa Das Faias
213,Butembo,CD,66.45,scattered clouds,0.15,29.2833,Hotel Butembo
214,Miandrivazo,MG,75.15,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
215,Makakilo City,US,79.12,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
216,Torrington,US,77.2,scattered clouds,41.8007,-73.1212,The Yankee Pedlar Inn
217,Grand Gaube,MU,75.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
221,Alpena,US,75.52,clear sky,45.0617,-83.4327,Days Inn by Wyndham Alpena
224,San Quintin,MX,71.33,broken clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
225,Paldiski,EE,65.91,few clouds,59.3567,24.0531,Pakri Hostel
226,Carauari,BR,71.85,broken clouds,-4.8828,-66.8958,Hotel Fellip
229,Khatanga,RU,63.27,overcast clouds,71.9667,102.5,"""Khatanga"""
231,Vila Velha,BR,65.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
232,Kafue,ZM,63.9,clear sky,-15.7691,28.1814,Purview Lodges Ltd
233,Montes Claros,BR,64.15,clear sky,-16.735,-43.8617,ibis Montes Claros Shopping
235,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
249,Innisfail,AU,75.58,overcast clouds,-17.5333,146.0333,Moondarra Motel
254,Svetlyy,RU,64.45,scattered clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
258,Broome,US,74.44,scattered clouds,42.2506,-75.833,Chenango Valley State Park
260,Touros,BR,73.49,few clouds,-5.1989,-35.4608,INN NEW HORIZON
265,Tevriz,RU,71.73,light rain,57.509,72.4042,Postoyalyy Dvor
266,Tongliao,CN,79.16,overcast clouds,43.6125,122.2653,Meirujia Hotel
269,Luque,ES,69.69,clear sky,37.558,-4.2797,Zuhayra
276,Mabaruma,GY,73.45,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
283,Clarence Town,AU,60.71,clear sky,-32.5833,151.7833,River Downs Cottage
284,Mitzic,GA,70.77,broken clouds,0.7821,11.549,Motel Emys
286,San Jose,US,65.3,clear sky,37.3394,-121.895,The Westin San Jose
288,Kvarkeno,RU,79.45,few clouds,52.0833,59.725,"Ooo ""Kvarkeno"""
290,Kazachinskoye,RU,75.25,scattered clouds,57.6953,93.2761,"Tayga, Gostinitsa"
291,Nioaque,BR,70.86,light rain,-21.1353,-55.83,Nioaque Novo Hotel
295,Garden City,US,78.82,broken clouds,42.3256,-83.331,Big Trees Mobile Home Community
301,Alta Floresta,BR,70.57,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
302,Manta,EC,71.38,overcast clouds,-0.95,-80.7333,Balandra Hotel
307,Kaabong,UG,67.98,light rain,3.4836,34.1492,Madona Guest House Kaabong
309,Haapiti,PF,74.93,overcast clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
310,Gladstone,AU,69.73,clear sky,-23.85,151.25,Highpoint International Hotel
312,Nchelenge,ZM,70.11,clear sky,-9.3451,28.734,KD Travellers Home
316,Maceio,BR,72.84,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
320,Boyolangu,ID,79.81,overcast clouds,-8.1181,111.8935,Yos ega cv
321,Roma,US,75.72,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
322,Buchanan,LR,74.5,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
323,Araguaina,BR,73.99,few clouds,-7.1911,-48.2072,Hotel São Vicente
328,Isangel,VU,76.08,broken clouds,-19.55,169.2667,Tanna Lodge
329,Saint-Pierre,RE,77.92,overcast clouds,-21.3393,55.4781,Alize Plage
333,Macae,BR,67.75,clear sky,-22.3708,-41.7869,Golden Tulip Macaé
336,Muros,ES,72.16,clear sky,42.7762,-9.0603,Apartment Av. Castelao
338,Brigantine,US,79.0,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
351,Bonavista,CA,62.33,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
352,Natal,BR,75.42,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
353,Shakawe,BW,76.51,clear sky,-18.3667,21.85,Ditlhapi Guest House
354,Erdenet,MN,63.84,broken clouds,49.0333,104.0833,Erdenet hotel
358,Luangwa,ZM,78.46,clear sky,-15.6167,30.4167,Gerasimos Safari Lodge
360,Plettenberg Bay,ZA,62.1,clear sky,-34.0527,23.3716,Thanda Vista B&B
362,Los Llanos De Aridane,ES,67.75,few clouds,28.6585,-17.9182,Valle Aridane
363,Ukiah,US,64.36,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
367,Soyo,AO,70.97,clear sky,-6.1349,12.3689,Hospedaria ndozi'ame
369,Manzanillo,CU,75.29,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
370,Mayumba,GA,71.04,overcast clouds,-3.432,10.6554,LIKWALE LODGE
371,Mossendjo,CG,73.9,scattered clouds,-2.9506,12.7261,HOTEL D'ASSISE
375,Inyonga,TZ,75.6,overcast clouds,-6.7167,32.0667,Eden Rock Lodge
377,Zeya,RU,63.43,light rain,53.75,127.2667,Kapital Inn
379,Tautira,PF,74.89,light rain,-17.7333,-149.15,Pension Oaoa
380,Cayenne,GF,75.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
382,Krasnoselkup,RU,68.31,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
385,Torbay,CA,61.57,broken clouds,47.6666,-52.7314,Gallows Cove
388,Ingham,US,74.79,clear sky,42.6,-84.3833,Sunset Mobile Home Park
391,Scarborough,GB,63.79,overcast clouds,54.2797,-0.4044,The Grand Hotel Scarborough
395,Mancio Lima,BR,69.71,overcast clouds,-7.6142,-72.8958,Motel Asas Do Desejo
396,San Cristobal,VE,63.57,overcast clouds,7.7669,-72.225,Pirineos
398,Arcelia,MX,69.13,overcast clouds,18.2833,-100.2667,C. GENERAL NAVOR MENDOZA
399,Geraldton,AU,61.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
400,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
401,Filadelfia,US,79.02,overcast clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
402,Bougouni,ML,77.83,clear sky,11.417,-7.479,Non Stop
409,Corner Brook,CA,60.03,overcast clouds,48.9667,-57.9484,Glynmill Inn
413,Kuytun,RU,65.14,broken clouds,54.3419,101.5036,Gostinitsa Tsentral'naya
414,Ponta Do Sol,PT,75.7,clear sky,32.6667,-17.1,Hotel do Campo
415,Caravelas,BR,65.59,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
416,Yarovoye,RU,79.52,broken clouds,52.9273,78.58,KirOFF Park
417,Lasa,IT,66.69,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
423,Lata,PT,77.74,clear sky,40.1629,-8.3327,Casa Maquia
427,Cap Malheureux,MU,75.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
430,Porto De Moz,BR,72.99,overcast clouds,-1.7483,-52.2383,Dormitório labelle
431,Brumunddal,NO,60.06,overcast clouds,60.881,10.9395,Wood Hotel
433,Ejura,GH,76.75,broken clouds,7.3856,-1.3562,Samfrimps lodge
434,Port Hedland,AU,75.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
438,Ambunti,PG,75.9,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
441,Lao Cai,VN,76.19,overcast clouds,22.4833,103.95,Legend Hotel
443,Marti,CU,76.06,scattered clouds,22.9475,-80.9203,Hotel Bibanasí
445,Chatellerault,FR,74.55,clear sky,46.8,0.5333,La Gourmandine
446,Quatre Cocos,MU,75.09,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
448,Ketchikan,US,61.27,light rain,55.3422,-131.6461,Snow's Cove Lodge
450,Vikhorevka,RU,69.39,overcast clouds,56.1201,101.1636,Pansionat Sosnovyye Rodniki
451,Kendari,ID,75.94,overcast clouds,-3.945,122.4989,Hotel Wixel
452,Mutoko,ZW,75.02,clear sky,-17.397,32.2268,Mutoko Hotel
454,Biak,ID,76.5,overcast clouds,-0.9131,122.8766,Penginapan Kim
455,Dudinka,RU,61.63,overcast clouds,69.4058,86.1778,Hotel Viktoria
456,Ixtapa,MX,76.23,overcast clouds,20.7,-105.2,hotel la terminal
458,Pozo Colorado,PY,60.64,overcast clouds,-23.4923,-58.7972,Hospedaje La Norteña
459,Kasempa,ZM,79.57,clear sky,-13.4584,25.8338,Lolelunga Forest Reserve
460,Swellendam,ZA,66.18,clear sky,-34.0226,20.4417,De Kloof Heritage Estate boutique Hotel & SPA
462,Roshchino,RU,65.14,few clouds,60.2519,29.6085,Hotel Galliard
464,Hovd,MN,77.04,few clouds,48.0056,91.6419,Hotel Khovd
466,Huarmey,PE,61.29,overcast clouds,-10.0681,-78.1522,Hotel Miramar
472,Tommot,RU,61.52,overcast clouds,58.9564,126.2925,Gostinitsa Tommot
473,Nantucket,US,79.0,broken clouds,41.2835,-70.0995,Jared Coffin House
475,West Wendover,US,61.81,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
476,Havre-Saint-Pierre,CA,61.16,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
480,Malmesbury,ZA,62.78,clear sky,-33.4608,18.7271,SuNel's Guest Rooms
482,Logan,US,62.2,clear sky,41.7355,-111.8344,SpringHill Suites by Marriott Logan
484,Cuiluan,CN,66.42,moderate rain,47.72,128.648,Shuncheng Hotel
487,Oromocto,CA,70.3,overcast clouds,45.8351,-66.4792,Days Inn by Wyndham Oromocto Conference Centre
492,Turukhansk,RU,68.43,scattered clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
496,Prabumulih,ID,79.61,clear sky,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
497,Saint Augustine,US,78.04,few clouds,29.8947,-81.3145,St. George Inn
498,Zaraza,VE,73.51,clear sky,9.3503,-65.3245,Hotel Zaraza
499,Eureka,US,62.2,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
501,Sao Filipe,CV,79.74,broken clouds,14.8961,-24.4956,Hotel Xaguate
502,Russell,US,74.43,clear sky,32.3502,-85.1999,Macs
504,Malindi,KE,78.89,broken clouds,-3.2175,40.1191,African House Resort
505,Bahir Dar,ET,62.82,light rain,11.5936,37.3908,"Delano Hotel, Bahir Dar"
506,Mezen,RU,61.61,broken clouds,65.8522,44.24,Gostevoy Dom Everest
507,Vila Franca Do Campo,PT,75.61,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
508,Salvador,SV,67.05,broken clouds,13.8333,-88.9167,Chico's Ranch
509,Yankton,US,66.11,overcast clouds,42.8711,-97.3973,"Holiday Inn Express & Suites Yankton, an IHG Hotel"
511,Conde,BR,71.06,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
512,Puerto Colombia,CO,77.09,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
513,Auki,SB,77.31,overcast clouds,-8.7676,160.7034,Auki Motel
515,Maragogi,BR,75.72,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
519,Morehead,US,72.79,clear sky,37.2711,-87.1764,CCI Express Inn
523,Novobirilyussy,RU,73.98,broken clouds,56.9514,90.6661,Gostinitsa
524,Darhan,MN,67.48,clear sky,49.4867,105.9228,Buudai Hotel
525,Laguna,US,67.96,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
528,Solwezi,ZM,79.59,clear sky,-12.1688,26.3894,Country Lodge Solwezi
529,Acarau,BR,79.02,clear sky,-2.8856,-40.12,castelo pizzaria
533,Ocos,GT,73.58,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
535,Santa Cruz,BO,69.85,mist,-17.8,-63.1667,Aviador Hotel Boutique
536,Peniche,PT,78.08,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
540,Marienburg,PL,75.85,overcast clouds,54.0359,19.0266,Hotel Centrum Malbork
543,Jacareacanga,BR,76.98,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
544,Sechura,PE,61.81,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
546,Villa Rica,US,70.68,broken clouds,33.7321,-84.9191,Days Inn by Wyndham Villa Rica
547,Safford,US,77.92,few clouds,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
548,Zary,PL,77.34,few clouds,51.6421,15.1373,Hotel i Restauracja Janków
552,Sinnamary,GF,78.49,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
554,Saba,HN,66.63,broken clouds,15.4667,-86.25,TORROJAMARU
558,Douglas,US,77.88,scattered clouds,41.3,-96.167,Hilton Garden Inn Omaha West
570,Kitaibaraki,JP,77.14,broken clouds,36.7833,140.75,Isohara Seaside Hotel
573,Half Moon Bay,US,63.86,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
577,Morrope,PE,60.91,overcast clouds,-6.5417,-80.0111,CASA WAYRA HOTEL
583,Vilnius,LT,68.88,broken clouds,54.6892,25.2798,Amberton Cathedral Square Hotel Vilnius
585,Gorontalo,ID,75.76,heavy intensity rain,0.5412,123.0595,Maqna Hotel by Prasanthi
586,Passo De Camaragibe,BR,76.55,broken clouds,-9.2368,-35.4901,Chácara vovó candinha
587,Vao,NC,73.9,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
590,Bryan,US,76.82,broken clouds,30.6744,-96.37,Best Western Premier Bryan College Station
593,Santa Rosa,PH,79.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
595,Inirida,CO,78.17,few clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
596,Osa,RU,78.33,overcast clouds,57.2829,55.4567,Гостиница Оса
599,Kitimat,CA,65.91,overcast clouds,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
603,Canaries,ES,71.56,few clouds,28.0,-15.5,Villa del Monte
605,Thessalon,CA,66.49,heavy intensity rain,46.2501,-83.5666,Carolyn Beach Inn & Restaurant
608,Minden,DE,78.69,clear sky,52.2833,8.9167,Victoria Hotel Minden
610,Sambava,MG,74.57,clear sky,-14.2667,50.1667,Melrose
613,Vila,PT,63.48,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
614,Puerto Maldonado,PE,72.54,overcast clouds,-12.6,-69.1833,Wasai Hotel
617,Amberley,US,76.23,few clouds,39.2048,-84.428,Days Inn & Suites by Wyndham Cincinnati
618,Labuhan,ID,78.39,clear sky,-6.8844,112.2051,DoubleFAG
619,Berezovyy,RU,62.56,heavy intensity rain,51.6667,135.7,"Hotel ""Phoenix"""
620,Whitecourt,CA,60.04,broken clouds,54.1502,-115.6855,Super 8 by Wyndham Whitecourt
622,Kiunga,PG,72.91,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
624,Mitla,MX,62.83,overcast clouds,16.9167,-96.4,Don Cenobio
626,Avanigadda,IN,78.35,moderate rain,16.0215,80.9181,AP Camping
627,Nemuro,JP,64.27,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
638,Tepalcatepec,MX,70.72,broken clouds,19.1833,-102.85,Maria De Jesus
644,Tiarei,PF,73.0,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
645,Batagay,RU,61.11,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
646,Kushmurun,KZ,75.65,broken clouds,52.4503,64.6311,Gostinitsa Pri Depo
648,Fenoarivo,MG,69.87,few clouds,-18.933,47.4354,Skyfol Ambodiafontsy
650,Tomari,RU,65.3,heavy intensity rain,47.7658,142.0683,Vostochnaya
651,Anloga,GH,77.68,overcast clouds,5.7947,0.8973,Pin Drop Hotel
655,Canon City,US,77.5,clear sky,38.441,-105.2424,Travel Inn Motel
657,Honiara,SB,77.5,broken clouds,-9.4333,159.95,Heritage Park Hotel
659,Roebourne,AU,67.96,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
660,Sola,VU,79.99,clear sky,-13.8833,167.55,Leumerus Bungalows
668,Dharmanagar,IN,79.92,overcast clouds,24.3667,92.1667,Juri Lodge
669,Ilula,TZ,70.21,scattered clouds,-7.6766,36.0366,FM Lodge
681,Alamogordo,US,77.95,clear sky,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
